id, delivery_datetime, school_id, priority, time_to_deliver
165172, 2019-01-16 11:40, 15, 39, 37
165200, 2019-01-16 11:40, 74, 17, 33
165224, 2019-01-16 11:40, 1, 33, 57
165227, 2019-01-16 12:20, 6, 10, 47
165228, 2019-01-16 12:10, 74, 10, 35
165229, 2019-01-16 12:00, 1, 39, 40
165230, 2019-01-16 11:50, 6, 10, 50
165231, 2019-01-16 13:10, 1, 11, 39
165234, 2019-01-16 12:20, 6, 26, 58
165245, 2019-01-16 12:00, 74, 55, 32
165248, 2019-01-16 12:30, 8, 2, 37
165250, 2019-01-16 11:40, 104, 46, 43
165251, 2019-01-16 12:30, 8, 52, 32
165252, 2019-01-16 12:30, 8, 22, 30
165253, 2019-01-16 11:40, 104, 35, 39
165261, 2019-01-16 12:20, 58, 54, 31
165262, 2019-01-16 12:30, 8, 9, 36
165264, 2019-01-16 12:30, 8, 12, 36
165266, 2019-01-16 12:00, 1, 27, 32
165267, 2019-01-16 12:30, 8, 0, 54
165271, 2019-01-16 12:00, 8, 4, 50
165272, 2019-01-16 12:00, 8, 2, 39
165273, 2019-01-16 12:30, 8, 6, 35
165275, 2019-01-16 12:30, 8, 18, 49
165279, 2019-01-16 12:30, 8, 2, 56
165280, 2019-01-16 12:30, 8, 41, 40
165281, 2019-01-16 12:30, 8, 38, 36
165282, 2019-01-16 12:30, 8, 32, 42
165284, 2019-01-16 12:30, 8, 50, 51
165286, 2019-01-16 12:00, 8, 48, 50
165289, 2019-01-16 12:30, 8, 20, 51
165293, 2019-01-16 12:30, 8, 9, 41
165295, 2019-01-16 11:40, 104, 5, 56
165300, 2019-01-16 12:10, 58, 30, 55
165301, 2019-01-16 12:10, 58, 21, 39
165302, 2019-01-16 12:10, 8, 13, 42
165303, 2019-01-16 12:10, 3, 27, 47
165304, 2019-01-16 12:30, 8, 31, 44
165306, 2019-01-16 12:00, 15, 0, 53
165319, 2019-01-16 11:40, 1, 27, 53
165320, 2019-01-16 12:30, 15, 48, 55
165323, 2019-01-16 12:00, 8, 17, 56
165324, 2019-01-16 12:00, 8, 28, 34
165325, 2019-01-16 12:00, 8, 36, 57
165328, 2019-01-16 12:00, 8, 16, 34
165332, 2019-01-16 12:00, 1, 14, 59
165333, 2019-01-16 12:10, 15, 38, 47
165334, 2019-01-16 12:10, 6, 27, 41
165335, 2019-01-16 12:00, 156, 14, 45
165336, 2019-01-16 12:00, 6, 32, 52
165339, 2019-01-16 12:00, 7, 7, 59
165346, 2019-01-16 12:20, 8, 56, 32
165355, 2019-01-16 12:00, 8, 14, 35
165357, 2019-01-16 12:20, 8, 32, 31
165366, 2019-01-16 12:20, 3, 48, 32
165368, 2019-01-16 12:10, 4, 4, 58
165370, 2019-01-16 12:00, 8, 59, 59
165371, 2019-01-16 12:40, 208, 44, 57
165372, 2019-01-16 11:40, 74, 29, 38
165373, 2019-01-16 12:40, 208, 27, 56
165374, 2019-01-16 12:20, 208, 44, 37
165380, 2019-01-16 12:10, 8, 17, 46
165384, 2019-01-16 11:50, 6, 17, 30
165386, 2019-01-16 11:50, 6, 53, 48
165390, 2019-01-16 12:30, 15, 32, 36
165396, 2019-01-16 11:50, 7, 42, 49
165400, 2019-01-16 11:50, 7, 26, 43
165402, 2019-01-16 11:50, 7, 43, 41
165405, 2019-01-16 12:50, 4, 17, 30
165408, 2019-01-16 11:40, 1, 50, 44
165414, 2019-01-16 11:50, 6, 25, 59
165419, 2019-01-16 11:50, 1, 39, 57
165422, 2019-01-16 12:40, 8, 13, 49
165424, 2019-01-16 12:40, 8, 48, 58
165432, 2019-01-16 13:00, 1, 22, 59
165436, 2019-01-16 12:10, 8, 16, 58
165437, 2019-01-16 12:10, 15, 22, 42
165452, 2019-01-16 12:00, 8, 15, 31
165456, 2019-01-16 12:10, 8, 42, 40
165480, 2019-01-16 12:20, 8, 54, 46
165521, 2019-01-16 12:20, 4, 46, 40
165533, 2019-01-16 12:50, 15, 55, 36
165546, 2019-01-16 12:40, 8, 55, 51
165561, 2019-01-16 12:40, 4, 33, 35
165568, 2019-01-16 12:40, 4, 45, 42
