id, delivery_datetime, school_id, priority, time_to_deliver
164753, 2019-01-15 12:20, 6, 29, 36
164769, 2019-01-15 12:20, 6, 39, 58
164803, 2019-01-15 12:20, 6, 11, 59
164806, 2019-01-15 12:20, 6, 59, 31
164808, 2019-01-15 12:10, 6, 55, 35
164811, 2019-01-15 11:40, 74, 33, 38
164812, 2019-01-15 12:20, 6, 1, 55
164813, 2019-01-15 12:10, 6, 19, 54
164814, 2019-01-15 12:30, 6, 36, 41
164815, 2019-01-15 12:10, 6, 7, 33
164816, 2019-01-15 12:30, 6, 19, 32
164817, 2019-01-15 12:30, 6, 39, 41
164818, 2019-01-15 12:30, 6, 38, 55
164819, 2019-01-15 12:30, 6, 18, 55
164820, 2019-01-15 12:10, 6, 51, 56
164821, 2019-01-15 12:00, 1, 29, 34
164822, 2019-01-15 12:10, 6, 37, 57
164823, 2019-01-15 12:30, 6, 41, 41
164824, 2019-01-15 12:10, 6, 24, 59
164825, 2019-01-15 12:20, 6, 16, 45
164826, 2019-01-15 12:10, 6, 48, 37
164827, 2019-01-15 12:30, 6, 14, 35
164828, 2019-01-15 12:10, 6, 19, 45
164831, 2019-01-15 12:10, 6, 30, 37
164833, 2019-01-15 12:10, 3, 55, 42
164835, 2019-01-15 12:10, 3, 12, 54
164837, 2019-01-15 12:10, 3, 36, 48
164838, 2019-01-15 12:30, 8, 4, 56
164839, 2019-01-15 12:30, 8, 4, 48
164840, 2019-01-15 12:40, 8, 42, 54
164841, 2019-01-15 12:30, 8, 37, 49
164842, 2019-01-15 12:30, 8, 24, 38
164843, 2019-01-15 12:00, 6, 22, 49
164844, 2019-01-15 12:30, 8, 29, 33
164845, 2019-01-15 12:30, 8, 36, 58
164846, 2019-01-15 12:10, 6, 24, 53
164847, 2019-01-15 12:40, 8, 36, 34
164848, 2019-01-15 12:00, 74, 57, 54
164855, 2019-01-15 12:00, 8, 43, 33
164865, 2019-01-15 12:00, 8, 17, 52
164868, 2019-01-15 12:00, 8, 45, 43
164872, 2019-01-15 12:30, 6, 41, 49
164880, 2019-01-15 12:20, 6, 29, 35
164881, 2019-01-15 12:00, 8, 4, 35
164884, 2019-01-15 11:40, 74, 28, 41
164885, 2019-01-15 11:40, 1, 48, 57
164886, 2019-01-15 11:40, 1, 55, 39
164892, 2019-01-15 12:00, 4, 6, 40
164895, 2019-01-15 12:30, 8, 21, 56
164896, 2019-01-15 12:00, 7, 4, 30
164898, 2019-01-15 12:30, 8, 44, 53
164899, 2019-01-15 12:00, 15, 47, 45
164900, 2019-01-15 12:10, 6, 54, 40
164901, 2019-01-15 12:00, 1, 38, 53
164903, 2019-01-15 12:00, 15, 53, 58
164905, 2019-01-15 12:00, 15, 4, 50
164907, 2019-01-15 12:10, 6, 45, 57
164909, 2019-01-15 12:10, 6, 31, 42
164917, 2019-01-15 12:20, 6, 49, 39
164921, 2019-01-15 12:20, 6, 37, 40
164923, 2019-01-15 12:10, 8, 25, 43
164924, 2019-01-15 12:00, 8, 4, 40
164925, 2019-01-15 12:00, 8, 11, 54
164927, 2019-01-15 12:10, 58, 31, 46
164929, 2019-01-15 12:00, 8, 4, 44
164930, 2019-01-15 12:00, 8, 26, 49
164931, 2019-01-15 12:00, 6, 34, 53
164935, 2019-01-15 12:00, 8, 31, 48
164940, 2019-01-15 12:00, 8, 6, 43
164944, 2019-01-15 12:00, 8, 42, 46
164948, 2019-01-15 12:00, 4, 13, 50
164953, 2019-01-15 12:00, 4, 19, 44
164954, 2019-01-15 12:00, 4, 43, 41
164957, 2019-01-15 12:00, 4, 32, 34
164958, 2019-01-15 12:10, 8, 34, 33
164968, 2019-01-15 12:00, 8, 39, 54
164969, 2019-01-15 12:40, 208, 48, 55
164971, 2019-01-15 12:00, 8, 30, 51
164972, 2019-01-15 12:10, 8, 46, 51
164976, 2019-01-15 12:30, 8, 47, 55
164981, 2019-01-15 12:30, 156, 37, 53
165015, 2019-01-15 12:40, 15, 46, 30
165027, 2019-01-15 12:00, 8, 28, 59
165032, 2019-01-15 12:00, 8, 23, 34
165053, 2019-01-15 13:00, 15, 57, 50
165054, 2019-01-15 12:20, 1, 45, 51
165063, 2019-01-15 12:40, 15, 34, 34
165119, 2019-01-15 12:50, 1, 41, 59
